Mods count: 155
 
jar name                                                                        | mod id (isMCreator)                      | mixin configs
GatewaysToEternity-1.21.1-5.1.0.jar                                             | gateways                                 | gateways.mixins.json
geckolib-neoforge-1.21.1-4.8.2.jar                                              | geckolib                                 | geckolib.mixins.json
getittogetherdrops-neoforge-1.21.5-1.4.jar                                      | getittogetherdrops                       | getittogetherdrops.mixins.json
guideme-21.1.15.jar                                                             | guideme                                  | guideme.optional.mixins.json
imfast-NEOFORGE-1.0.2.jar                                                       | imfast                                   | imfast.mixins.json
ImmediatelyFast-NeoForge-1.6.7+1.21.1.jar                                       | immediatelyfast                          | immediatelyfast-common.mixins.json, immediatelyfast-neoforge.mixins.json
    /META-INF/jars/Reflect-1.3.4.jar                                            |                                          | 
iris-neoforge-1.8.12+mc1.21.1.jar                                               | iris                                     | mixins.iris.forge.json, mixins.iris.compat.sodium.json, mixins.iris.devenvironment.json, mixins.iris.fixes.maxfpscrash.json, iris-batched-entity-rendering.mixins.json, mixins.iris.json, mixins.iris.fantastic.json, mixins.iris.integrationtest.json, mixins.iris.vertexformat.json, mixins.iris.bettermipmaps.json, mixins.iris.compat.dh.json
    /META-INF/jarjar/glsl-transformer-2.0.1.jar                                 |                                          | 
    /META-INF/jarjar/jcpp-1.4.14.jar                                            |                                          | 
    /META-INF/jarjar/fabric-api-base-0.4.42+d1308ded19.jar                      | fabric_api_base                          | 
    /META-INF/jarjar/fabric-block-view-api-v2-1.0.10+9afaaf8c19.jar             | fabric_block_view_api_v2                 | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json
    /META-INF/jarjar/fabric-renderer-api-v1-3.4.0+acb05a3919.jar                | fabric_renderer_api_v1                   | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json
    /META-INF/jarjar/fabric-rendering-data-attachment-v1-0.3.48+73761d2e19.jar  | fabric_rendering_data_attachment_v1      | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json
irons_spellbooks-1.21.1-3.14.6.jar                                              | irons_spellbooks                         | irons_spellbooks.mixins.json
Jade-1.21.1-NeoForge-15.10.3.jar                                                | jade                                     | jade.mixins.json
jei-1.21.1-neoforge-19.25.0.324.jar                                             | jei                                      | 
journeymap-neoforge-1.21.1-6.0.0-beta.52.jar                                    | journeymap                               | journeymap.mixins.json, journeymap.neoforge.mixins.json
    /META-INF/jarjar/common-networking-neoforge-1.0.18-1.21.1.jar               | commonnetworking                         | 
    /META-INF/jarjar/pngj-2.1.0.jar                                             |                                          | 
    /META-INF/jarjar/journeymap-api-neoforge-2.0.0-1.21.1-SNAPSHOT.jar          | journeymap_api                           | 
JustEnoughResources-NeoForge-1.21.1-1.6.0.17.jar                                | jeresources                              | 
kotlinforforge-5.10.0-all.jar                                                   |                                          | 
    /META-INF/jarjar/kotlin-reflect-2.2.20.jar                                  |                                          | 
    /META-INF/jarjar/kotlin-stdlib-jdk8-2.2.20.jar                              |                                          | 
    /META-INF/jarjar/kotlinx-serialization-core-jvm-1.9.0.jar                   |                                          | 
    /META-INF/jarjar/kotlinx-serialization-json-jvm-1.9.0.jar                   |                                          | 
    /META-INF/jarjar/thedarkcolour.kfflib-5.10.0.jar                            |                                          | 
    /META-INF/jarjar/kotlin-stdlib-2.2.20.jar                                   |                                          | 
    /META-INF/jarjar/thedarkcolour.kffmod-5.10.0.jar                            | kotlinforforge                           | 
    /META-INF/jarjar/kotlinx-coroutines-core-jvm-1.10.2.jar                     |                                          | 
    /META-INF/jarjar/kotlinx-coroutines-jdk8-1.10.2.jar                         |                                          | 
    /META-INF/jarjar/thedarkcolour.kfflang-5.10.0.jar                           |                                          | 
    /META-INF/jarjar/kotlin-stdlib-jdk7-2.2.20.jar                              |                                          | 
kubejs-neoforge-2101.7.2-build.295.jar                                          | kubejs                                   | kubejs.mixins.json
    /META-INF/jarjar/animated-gif-lib-for-java-animated-gif-lib-1.7.jar         |                                          | 
    /META-INF/jarjar/tiny-java-server-1.0.0-build.26.jar                        |                                          | 
livingthings-neoforge-1.21.1-2.3.0.jar                                          | livingthings                             | livingthings.mixins.json
lmft-1.1.1+1.21.9-neoforge.jar                                                  | lmft                                     | lmft-common.mixins.json, lmft-neoforge.mixins.json
mahoutsukai-1.21.1-v1.36.14.jar                                                 | mahoutsukai                              | mahoutsukai.mixins.json
memorysettings-1.21-5.9.jar                                                     | memorysettings                           | memorysettings.mixins.json
mes-1.4.6-1.21.jar                                                              | mes                                      | mes-neoforge.mixins.json, mes-common.mixins.json
minecolonies-1.1.1041-1.21.1.jar                                                | minecolonies                             | 
minecolonies-questline-1.21.1-1.1.0.jar                                         | questinstaller                           | 
modernfix-neoforge-5.24.3+mc1.21.1.jar                                          | modernfix                                | modernfix-common.mixins.json, modernfix-neoforge.mixins.json
moogs_structures-1.0.1-1.21-1.21.1-neoforge.jar                                 | moogs_structures                         | moogs_structures-common.mixins.json, moogs_structures-neoforge.mixins.json
MoogsNetherStructures-1.21-2.0.0.jar                                            | mns                                      | 
MoogsSoaringStructures-1.21-2.0.0.jar                                           | mss                                      | 
MoogsVoyagerStructures-1.21-5.0.1.jar                                           | mvs                                      | 
moonlight-1.21-2.25.5-neoforge.jar                                              | moonlight                                | moonlight.mixins.json, moonlight-common.mixins.json
moredragoneggs-5.0.jar                                                          | moredragoneggs                           | moredragoneggs.mixins.json
multipiston-1.2.58-1.21.1.jar                                                   | multipiston                              | 
NaturesCompass-1.21.1-3.0.3-neoforge.jar                                        | naturescompass                           | 
NeoAuth-1.21.1-1.0.0.jar                                                        | neo_auth                                 | neoauth.mixins.json
